idx,band,song,mode
637,roselia,HONEY (Cover),minor
638,roselia,悪魔の子 (Cover),major
639,roselia,slash (Cover),minor
641,roselia,乙女解剖 (Cover),minor
642,roselia,六兆年と一夜物語 (Cover),minor
640,roselia,右肩の蝶 (Cover),minor
644,roselia,海色 (Cover),minor
643,roselia,残酷な天使のテーゼ (Cover),minor
646,roselia,魂のルフラン (Cover),major
645,roselia,ETERNAL BLAZE (Cover),minor
647,roselia,This game (Cover),minor
649,roselia,シャルル (Cover),major
650,roselia,新時代 (Cover),minor
648,roselia,スカイクラッドの観測者 (Cover),minor
652,roselia,Red fraction (Cover),minor
651,roselia,革命デュアリズム (Cover),minor
654,roselia,Paradisus‐Paradoxum (Cover),major
653,roselia,深愛 (Cover),minor
655,roselia,Realize (Cover),major
659,roselia,KING (Cover),major
656,roselia,Preserved Roses (Cover),major
658,roselia,Shangri-La (Cover),major
660,mygo,素寄曲,major
661,mygo,羅永線,major
657,roselia,My Dearest (Cover),major
662,mygo,騒混出,major
664,mugendai_mutype,等身大あんりみてっど,minor
663,morfonica,深海少女 (Cover),minor
665,mugendai_mutype,好きになっちゃえ！,major
666,mugendai_mutype,YoU kNOw the overture,minor
669,mugendai_mutype,デビルじゃないもん (Cover),minor
667,mugendai_mutype,唱 (Cover),major
668,mugendai_mutype,インキャのキャキャキャ (Cover),minor
670,mugendai_mutype,エイリアンエイリアン (Cover),minor
671,mugendai_mutype,ぼくたちいつでも しゅわっしゅわ！ (Cover),major
673,mugendai_mutype,ビッグマウス feat.りむる (Cover),major
677,mugendai_mutype,パラレルラルラ (Cover),major
674,mugendai_mutype,KiLLKiSS (Cover),minor
675,mugendai_mutype,君が飛び降りるのならば (Cover),major
672,mugendai_mutype,回レ!雪月花 (Cover),minor
676,mugendai_mutype,地球最後の告白を (Cover),major
679,mugendai_mutype,ジレンマ (Cover),major
681,mugendai_mutype,メンタルチェンソー (Cover),minor
678,mugendai_mutype,夜もすがら君想ふ (Cover),major
682,mugendai_mutype,ホシアイ (Cover),major
680,mugendai_mutype,glow (Cover),major
683,mugendai_mutype,フォニイ (Cover),minor
684,mugendai_mutype,ELECT (Cover),minor
686,mugendai_mutype,スイートマジック (Cover),major
685,mugendai_mutype,ユキトキ (Cover),major
689,mugendai_mutype,ミルククラウン・オン・ソーネチカ (Cover),major
688,mugendai_mutype,One Last Kiss (Cover),minor
690,mugendai_mutype,決戦スピリット (Cover),major
691,mugendai_mutype,ティアドロップス (Cover),minor
687,mugendai_mutype,少年よ我に帰れ (Cover),minor
692,mugendai_mutype,ロウワー (Cover),minor
693,mugendai_mutype,ハイドアンド・シーク (Cover),minor
694,mugendai_mutype,不可解 (Cover),major
695,mugendai_mutype,GURU (Cover),major
697,mugendai_mutype,翼をください (Cover),major
696,mugendai_mutype,経験値上昇中☆ (Cover),minor
698,mugendai_mutype,元気を出して (Cover),major
699,mugendai_mutype,ハッピー☆マテリアル (Cover),major
700,mugendai_mutype,時をかける少女 (Cover),minor
703,mugendai_mutype,CH4NGE (Cover),major
701,mugendai_mutype,TOMORROW (Cover),major
705,mugendai_mutype,撫でんな (Cover),major
702,mugendai_mutype,PARTY☆NIGHT（D-POP version） (Cover),major
706,mugendai_mutype,なにやってもうまくいかない (Cover),minor
704,mugendai_mutype,絶え間なく藍色 (Cover),minor
707,mugendai_mutype,マーシャル・マキシマイザー (Cover),minor
708,mugendai_mutype,ZEAL of proud (Cover),minor
713,mugendai_mutype,唱 (Cover),major
709,mugendai_mutype,繰り返し一粒 (Cover),major
712,millsage,カーネーションの咲く日に,major
710,poppin_party,乙女はサイコパス (Cover),major
711,roselia,Neo-Aspect,major
715,mugendai_mutype,デビルじゃないもん (Cover),minor
714,mugendai_mutype,インキャのキャキャキャ (Cover),minor
717,mugendai_mutype,ぼくたちいつでも しゅわっしゅわ！ (Cover),major
716,mugendai_mutype,エイリアンエイリアン (Cover),minor
718,mugendai_mutype,回レ!雪月花 (Cover),minor
719,mugendai_mutype,ビッグマウス feat.りむる (Cover),major
720,mugendai_mutype,KiLLKiSS (Cover),minor
721,mygo,二息歩行 (Reloaded) (Cover),major
722,mygo,社会距離 (Cover),minor
723,mygo,君の神様になりたい。 (Cover),minor
725,mygo,ティアドロップス (Cover),minor
724,mygo,Henceforth (Cover),major
726,mygo,遠心力 (Cover),minor
727,mygo,ないばいたりてぃ (Cover),major
729,mygo,もしも命が描けたら (Cover),major
731,mygo,パメラ (Cover),minor
728,mygo,キリトリセン (Cover),major
730,mygo,TEENAGE RIOT (Cover),minor
733,mygo,シンデレラボーイ (Cover),major
732,mygo,栞 (Cover),major
737,roselia,擬態ごっこ (Cover),minor
736,mygo,恋してる自分すら愛せるんだ (Cover),major
735,mygo,正しくなれない (Cover),major
734,mygo,少女レイ (Cover),major
