tag,band,song,detected_lang,lang_prob,n_segments,n_chars,avg_logprob_mean
mygo__292,mygo,だれかの心臓になれたなら (Cover),ja,0.99365234375,41,596,-0.20399029583850545
mygo__293,mygo,遥か彼方 (Cover),ja,0.708984375,21,314,-0.332504808189312
mygo__294,mygo,雑踏、僕らの街 (Cover),ja,0.98681640625,56,729,-0.20290358866741318
mygo__295,mygo,過去を喰らう (Cover),ja,0.99365234375,35,514,-0.18281548111417992
mygo__296,mygo,君の神様になりたい。 (Cover),ja,0.99609375,64,880,-0.1727059837459545
mygo__297,mygo,ノンブレス・オブリージュ (Cover),ja,0.9931640625,51,1012,-0.3112721912100614
mygo__298,mygo,swim (Cover),ja,0.9384765625,28,350,-0.2939638609847673
mygo__299,mygo,猛独が襲う (Cover),ja,0.96484375,35,355,-0.3590670553602475
mygo__300,mygo,春日影,ja,0.951171875,16,181,-0.3607890094269573
pastel_palettes__301,pastel_palettes,TITLE IDOL,ja,0.9921875,49,525,-0.2026711200807375
pastel_palettes__302,pastel_palettes,ワクワクmeetsトリップ,ja,0.9267578125,63,685,-0.328522254626199
pastel_palettes__303,pastel_palettes,ゆら・ゆらRing-Dong-Dance,ja,0.96630859375,34,644,-0.2579320128777495
pastel_palettes__304,pastel_palettes,もういちど ルミナス,ja,0.97900390625,25,259,-0.3283064553062644
pastel_palettes__305,pastel_palettes,あっつあつ 常夏 らぶ☆サマー！,ja,0.94287109375,33,667,-0.34675526462933903
pastel_palettes__306,pastel_palettes,天下トーイツ A to Z☆,ja,0.9609375,49,633,-0.33484587755540074
pastel_palettes__307,pastel_palettes,しゅわりん☆どり〜みん,ja,0.98193359375,37,438,-0.2899554296662994
pastel_palettes__308,pastel_palettes,Power of LOVE!!!,ja,0.84228515625,37,414,-0.2615520614734928
pastel_palettes__309,pastel_palettes,きゅ～まい＊flower,ja,0.96435546875,32,375,-0.21391586095778364
pastel_palettes__310,pastel_palettes,Winking☆Cheer,ja,0.99267578125,55,718,-0.18745963079738096
pastel_palettes__311,pastel_palettes,ゆめゆめグラデーション,ja,0.9814453125,48,701,-0.2493806089356425
pastel_palettes__312,pastel_palettes,はなまる◎アンダンテ,ja,0.990234375,28,350,-0.2314851525805459
pastel_palettes__313,pastel_palettes,パスパレボリューションず☆,ja,0.98486328125,26,388,-0.2161619954678109
pastel_palettes__314,pastel_palettes,SURVIVOR ねばーぎぶあっぷ!,ja,0.98828125,67,701,-0.2599972977963296
pastel_palettes__315,pastel_palettes,Wonderland Girl,ja,0.978515625,39,476,-0.2937069795727263
pastel_palettes__316,pastel_palettes,ゼッタイ宣言～Recital～,ja,0.97216796875,59,688,-0.29336573441793096
pastel_palettes__317,pastel_palettes,ぎゅっDAYS♪,ja,0.9775390625,34,520,-0.22502639193498342
pastel_palettes__318,pastel_palettes,Wonderful Sweet!,ja,0.94921875,32,605,-0.4096267444790544
pastel_palettes__319,pastel_palettes,るんっ♪てぃてぃー！,ja,0.98291015625,42,502,-0.240645080655572
pastel_palettes__320,pastel_palettes,パッパレ☆人生！バーン万歳！,ja,0.9111328125,66,756,-0.2411766631794499
pastel_palettes__321,pastel_palettes,Brand new Pastel Road!,ja,0.9951171875,32,534,-0.21955240241897875
pastel_palettes__322,pastel_palettes,あこがれacross,ja,0.97705078125,29,427,-0.21029092895475487
pastel_palettes__323,pastel_palettes,ハレハレ☆フォーチュン,ja,0.9775390625,44,541,-0.25921155079063574
pastel_palettes__324,pastel_palettes,ハナヒバナ,ja,0.984375,44,450,-0.25830375909435327
pastel_palettes__325,pastel_palettes,そばかす,ja,0.9697265625,33,397,-0.22065050844961678
pastel_palettes__326,pastel_palettes,気まぐれロマンティック,ja,0.97705078125,29,536,-0.21662898412779938
pastel_palettes__327,pastel_palettes,ドリームパレード,ja,0.98681640625,39,511,-0.23323081627790307
pastel_palettes__328,pastel_palettes,ラムのラブソング,ja,0.974609375,39,285,-0.21852190019934425
pastel_palettes__329,pastel_palettes,DANCE! おジャ魔女,ja,0.96484375,40,649,-0.25083754373271383
pastel_palettes__330,pastel_palettes,DISCOTHEQUE,ja,0.67529296875,35,585,-0.33538536613471215
pastel_palettes__331,pastel_palettes,ゆりゆららららゆるゆり大事件,ja,0.96826171875,29,529,-0.30316639591228894
pastel_palettes__332,pastel_palettes,SAKURAスキップ,ja,0.984375,41,551,-0.194344301702143
pastel_palettes__333,pastel_palettes,Stay Alive,ja,0.93310546875,24,261,-0.3079317237417216
pastel_palettes__334,pastel_palettes,秘密の扉から会いにきて,ja,0.927734375,43,501,-0.28500628718567167
pastel_palettes__335,pastel_palettes,トリドリ＊パレット,ja,0.98779296875,19,312,-0.31739031245862026
pastel_palettes__336,pastel_palettes,ドラマチック！アライブ,ja,0.96923828125,57,635,-0.23285396938584196
pastel_palettes__337,pastel_palettes,Radiate Warriors,ja,0.9345703125,47,649,-0.3157193190275923
pastel_palettes__338,pastel_palettes,ReReReエボリューションず☆,ja,0.93603515625,24,264,-0.3080496708902784
pastel_palettes__339,pastel_palettes,everyday flower,ja,0.94140625,16,243,-0.30314692433593443
pastel_palettes__340,pastel_palettes,With〜きみとわたしたちの物語〜,ja,0.90771484375,36,433,-0.22573647404301278
pastel_palettes__341,pastel_palettes,フレっとパレットFight Song!!,ja,0.95556640625,30,342,-0.31709959574038893
pastel_palettes__342,pastel_palettes,デイオフ・ラフ・ラブ・サンクス,ja,0.96533203125,43,571,-0.274655602036378
pastel_palettes__343,pastel_palettes,ホワイト ノスタルジア,ja,0.9853515625,38,428,-0.24595996231888737
pastel_palettes__344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),ja,0.990234375,46,618,-0.20224705406431284
pastel_palettes__345,pastel_palettes,奏（かなで） (Cover),ja,0.93505859375,30,362,-0.20141874138511973
pastel_palettes__346,pastel_palettes,Sparkling Daydream (Cover),ja,0.91650390625,41,422,-0.24494715371807474
pastel_palettes__347,pastel_palettes,春を告げる (Cover),ja,0.9873046875,47,531,-0.21481835356620682
pastel_palettes__348,pastel_palettes,だから、ひとりじゃない (Cover),ja,0.97900390625,51,588,-0.23423977732610227
pastel_palettes__349,pastel_palettes,サインはB (Cover),ja,0.9814453125,49,595,-0.25986851859785454
pastel_palettes__350,pastel_palettes,愛包ダンスホール (Cover),ja,0.970703125,82,1089,-0.3334698763855777
pastel_palettes__351,pastel_palettes,最上級にかわいいの！ (Cover),ja,0.99169921875,35,477,-0.25339695280655233
pastel_palettes__352,pastel_palettes,♡桃色片想い♡ (Cover),ja,0.93115234375,49,500,-0.36098013207967006
pastel_palettes__353,pastel_palettes,金曜日のおはよう (Cover),ja,0.994140625,37,602,-0.1408149280512258
pastel_palettes__354,pastel_palettes,魔法少女とチョコレゐト (Cover),ja,0.95361328125,47,665,-0.25281051077707345
pastel_palettes__355,pastel_palettes,可愛くてごめん (Cover),ja,0.990234375,38,591,-0.21060683626347027
pastel_palettes__356,pastel_palettes,からくりピエロ (Cover),ja,0.9833984375,29,430,-0.198991606605937
pastel_palettes__357,pastel_palettes,みくみくにしてあげる♪【してやんよ】 (Cover),ja,0.99560546875,16,235,-0.19021568449241114
pastel_palettes__358,pastel_palettes,ルカルカ★ナイトフィーバー (Cover),ja,0.98583984375,36,532,-0.17433289125410323
pastel_palettes__359,pastel_palettes,アイドル (Cover),ja,0.97021484375,55,733,-0.16855968142348965
pastel_palettes__360,pastel_palettes,secret base ～君がくれたもの～ (Cover),ja,0.982421875,41,634,-0.16667868694410085
pastel_palettes__361,pastel_palettes,ふわふわ時間 (Cover),ja,0.97705078125,35,407,-0.2982759230095842
pastel_palettes__362,pastel_palettes,Fantastic future (Cover),ja,0.96240234375,40,594,-0.2336310713056733
pastel_palettes__363,pastel_palettes,Baby Sweet Berry Love (Cover),ja,0.9365234375,52,790,-0.24932163511338634
pastel_palettes__364,pastel_palettes,Q＆A　リサイタル！ (Cover),ja,0.92333984375,44,709,-0.21920963912408953
pastel_palettes__365,pastel_palettes,ヒトリゴト (Cover),ja,0.98876953125,42,630,-0.1853371347286567
pastel_palettes__366,pastel_palettes,惑星ループ (Cover),ja,0.97265625,41,447,-0.1991224163498869
pastel_palettes__367,pastel_palettes,世界は恋に落ちている (Cover),ja,0.9892578125,37,576,-0.18966116067345115
pastel_palettes__368,pastel_palettes,ハッピーシンセサイザ (Cover),ja,0.95556640625,34,733,-0.21643518054730956
pastel_palettes__369,pastel_palettes,春擬き (Cover),ja,0.98828125,40,431,-0.21882781214834704
pastel_palettes__370,pastel_palettes,Make it! (Cover),ja,0.97705078125,34,481,-0.23036867684330437
pastel_palettes__371,pastel_palettes,花ハ踊レヤいろはにほ (Cover),ja,0.96142578125,50,604,-0.2682846268154554
pastel_palettes__372,pastel_palettes,夜に駆ける (Cover),ja,0.9853515625,43,726,-0.125667969545114
pastel_palettes__373,pastel_palettes,徒花ネクロマンシー (Cover),ja,0.97607421875,44,444,-0.3795114687591701
pastel_palettes__374,pastel_palettes,ノスタルジックレインフォール (Cover),ja,0.9375,46,421,-0.32868600471286796
poppin_party__375,poppin_party,Yes! BanG_Dream!,ja,0.85205078125,43,635,-0.2408826796374533
poppin_party__376,poppin_party,STAR BEAT!～ホシノコドウ～,ja,0.9306640625,36,635,-0.2081170433745572
poppin_party__377,poppin_party,走り始めたばかりのキミに,ja,0.96484375,30,466,-0.1864859723444799
poppin_party__378,poppin_party,ティアドロップス,ja,0.9716796875,43,561,-0.33169529264812553
poppin_party__379,poppin_party,ときめきエクスペリエンス！,ja,0.96875,35,419,-0.2491797358631719
poppin_party__380,poppin_party,キラキラだとか夢だとか ～Sing Girls～,ja,0.98974609375,58,679,-0.23466353916477684
poppin_party__381,poppin_party,私の心はチョココロネ,ja,0.986328125,34,398,-0.22662994517737065
poppin_party__382,poppin_party,前へススメ！,ja,0.91943359375,32,590,-0.1637306195288129
poppin_party__383,poppin_party,夢みるSunflower,ja,0.9599609375,34,409,-0.3056024923048061
poppin_party__384,poppin_party,ティアドロップス ～Popipa Acoustic Ver.～,ja,0.91455078125,42,593,-0.23625094165845956
poppin_party__385,poppin_party,走り始めたばかりのキミに ～Popipa Acoustic Ver.～,ja,0.96435546875,30,455,-0.18388236092703789
poppin_party__386,poppin_party,Time Lapse,ja,0.91796875,33,294,-0.37402961387904704
poppin_party__387,poppin_party,八月のif,ja,0.98828125,27,308,-0.255144196075263
poppin_party__388,poppin_party,クリスマスのうた,ja,0.95361328125,45,391,-0.34424535701026443
poppin_party__389,poppin_party,B.O.F,ja,0.9794921875,23,368,-0.19027916442025256
poppin_party__390,poppin_party,CiRCLING,ja,0.97509765625,31,409,-0.23072591415799035
poppin_party__391,poppin_party,二重の虹(ダブル レインボウ),ja,0.9755859375,35,378,-0.3089188293767092
poppin_party__392,poppin_party,最高(さあ行こう)！,ja,0.89453125,34,382,-0.250363837834336
poppin_party__393,poppin_party,ガールズコード,ja,0.9912109375,46,551,-0.23199327392435798
poppin_party__394,poppin_party,Yes! BanG_Dream! ～Popipa Acoustic Ver.～,ja,0.92822265625,52,652,-0.1973443483446139
poppin_party__395,poppin_party,夏空 SUN! SUN! SEVEN! ～Popipa Acoustic Ver.～,ja,0.92333984375,55,844,-0.2080000563332995
poppin_party__396,poppin_party,STAR BEAT!～ホシノコドウ～ ～Popipa Acoustic Ver.～,ja,0.81396484375,32,592,-0.20392200583073375
poppin_party__397,poppin_party,Breakthrough!,ja,0.923828125,41,626,-0.26335498705542465
poppin_party__398,poppin_party,NO GIRL NO CRY/Poppin'Party Ver.,ja,0.986328125,39,583,-0.2240719062413234
poppin_party__399,poppin_party,イニシャル,ja,0.98291015625,41,421,-0.25115458272527147
poppin_party__400,poppin_party,Hello! Wink!,ja,0.93896484375,35,460,-0.2897192702042847
poppin_party__401,poppin_party,Step×Step!,ja,0.9189453125,25,305,-0.27598378636990195
poppin_party__402,poppin_party,Jumpin',ja,0.900390625,18,185,-0.29149800097790285
poppin_party__403,poppin_party,White Afternoon,ja,0.98046875,32,324,-0.24964114236028165
poppin_party__404,poppin_party,キラキラスター！,ja,0.96337890625,37,415,-0.2043670989651943
poppin_party__405,poppin_party,Returns,ja,0.99267578125,35,410,-0.292484194154233
poppin_party__406,poppin_party,Dreamers Go!,ja,0.9638671875,44,541,-0.27260779461667356
poppin_party__407,poppin_party,キズナミュージック♪,ja,0.9921875,40,367,-0.26461390234704896
poppin_party__408,poppin_party,ミライトレイン,ja,0.97265625,31,394,-0.2514852148916274
poppin_party__409,poppin_party,夢を撃ち抜く瞬間に！,ja,0.9873046875,28,446,-0.23271952973642202
poppin_party__410,poppin_party,ぽっぴん'しゃっふる,ja,0.97021484375,49,580,-0.22897902245972862
poppin_party__411,poppin_party,夏空 SUN! SUN! SEVEN!,ja,0.95068359375,49,636,-0.22853192482487733
poppin_party__412,poppin_party,1000回潤んだ空,ja,0.99072265625,41,494,-0.23572541237070643
poppin_party__413,poppin_party,HAPPY HAPPY PARTY!,ja,0.95166015625,38,431,-0.23289604920259552
poppin_party__414,poppin_party,夏のドーン！,ja,0.9541015625,29,473,-0.24877230404012754
poppin_party__415,poppin_party,キミにもらったもの,ja,0.9716796875,27,337,-0.2373526741783064
poppin_party__416,poppin_party,Light Delight,ja,0.9462890625,38,363,-0.2657340894154703
poppin_party__417,poppin_party,切ないSandglass,ja,0.99462890625,26,337,-0.18360988634698336
poppin_party__418,poppin_party,Home Street,ja,0.96923828125,25,340,-0.22426203067812694
poppin_party__419,poppin_party,What's the POPIPA!?,ja,0.826171875,44,539,-0.3121767191310213
poppin_party__420,poppin_party,SAKURA MEMORIES,ja,0.9365234375,21,357,-0.2721931557638974
poppin_party__421,poppin_party,アニバーサリー,ja,0.97705078125,50,561,-0.25414894402107274
poppin_party__422,poppin_party,Tomorrow's Door,ja,0.9833984375,33,410,-0.2229526012919023
poppin_party__423,poppin_party,イントロダクション,ja,0.9970703125,35,589,-0.11434571421145609
poppin_party__424,poppin_party,TARINAI,ja,0.9287109375,42,629,-0.20728313613392105
poppin_party__425,poppin_party,DOKI DOKI SCARY,ja,0.96240234375,42,551,-0.25320646059304885
poppin_party__426,poppin_party,Photograph,ja,0.9951171875,21,263,-0.23305182657088752
poppin_party__427,poppin_party,夏に閉じこめて,ja,0.95458984375,39,457,-0.22324172205344198
poppin_party__428,poppin_party,ぽっぴん'どりーむ！,ja,0.9619140625,34,696,-0.2388274951088624
poppin_party__429,poppin_party,星の約束,ja,0.912109375,40,483,-0.1964107072397701
poppin_party__430,poppin_party,新しい季節に,ja,0.9931640625,36,401,-0.19708172930822895
poppin_party__431,poppin_party,トレモロアイズ,ja,0.99169921875,41,545,-0.17783950233055146
poppin_party__432,poppin_party,雨上がり、キミと,ja,0.9921875,47,560,-0.20597820950719725
poppin_party__433,poppin_party,花咲く未来に,ja,0.91748046875,42,523,-0.2158425826386641
poppin_party__434,poppin_party,Live Beyond!!,ja,0.98681640625,53,601,-0.24804619007010897
poppin_party__435,poppin_party,Sweets BAN!,ja,0.9677734375,39,559,-0.22074253915554026
poppin_party__436,poppin_party,キミが始まる！,ja,0.97412109375,19,242,-0.2685995034116225
poppin_party__437,poppin_party,Moonlight Walk,ja,0.8681640625,10,123,-0.2373889368348816
poppin_party__438,poppin_party,ここから先は歌にならない,ja,0.9814453125,38,459,-0.2513093073338194
poppin_party__439,poppin_party,青春 To Be Continued,ja,0.95166015625,42,508,-0.20757469216877691
poppin_party__440,poppin_party,Future Place,ja,0.994140625,35,482,-0.21210938566042656
poppin_party__441,poppin_party,大好き！,ja,0.96240234375,26,411,-0.17458638921309297
poppin_party__442,poppin_party,Five Letters,ja,0.9833984375,30,440,-0.23009260750192545
poppin_party__443,poppin_party,最強☆ソング,ja,0.98974609375,49,552,-0.22437826114795606
poppin_party__444,poppin_party,RiNG A BELL,ja,0.9794921875,53,616,-0.22935050264406848
poppin_party__445,poppin_party,Drive Your Heart,ja,0.9912109375,57,627,-0.2841568864195956
poppin_party__446,poppin_party,とっておきAnswer,ja,0.9873046875,39,472,-0.23757382321023293
poppin_party__447,poppin_party,START!! True dreams,ja,0.97705078125,34,477,-0.15796963379430629
poppin_party__448,poppin_party,どきどきデエト,ja,0.9931640625,46,695,-0.18920877474417952
poppin_party__449,poppin_party,チョコレイトの低音レシピ,ja,0.92724609375,37,551,-0.19814638524602915
poppin_party__450,poppin_party,Chu Chueen!,ja,0.984375,45,796,-0.21924590686913273
poppin_party__451,poppin_party,どきどきSING OUT!,ja,0.955078125,40,577,-0.21934559423383426
poppin_party__452,poppin_party,Freedom,ja,0.99267578125,29,371,-0.1932611782685088
poppin_party__453,poppin_party,Game Changer,ja,0.96435546875,33,789,-0.3082068503416563
poppin_party__454,poppin_party,花園電気ギター！！！,ja,0.9833984375,22,379,-0.3004722949240549
poppin_party__455,poppin_party,す、好きなんかじゃない！,ja,0.99560546875,46,596,-0.2179381665513981
poppin_party__456,poppin_party,遠い音楽 ～ハートビート～,ja,0.98388671875,27,366,-0.23733925978157824
poppin_party__457,poppin_party,ほな！,ja,0.98291015625,44,547,-0.21942324968885354
poppin_party__458,poppin_party,世界中の青空をあつめて,ja,0.951171875,30,414,-0.193140407074643
poppin_party__459,poppin_party,勇気Limit！,ja,0.96484375,41,667,-0.2220225264482453
poppin_party__460,poppin_party,開けたらDream!,ja,0.9580078125,55,493,-0.3143192365361793
poppin_party__461,poppin_party,絆色のアンサンブル,ja,0.81689453125,28,351,-0.2559303583593249
poppin_party__462,poppin_party,NO GIRL NO CRY (Poppin'Party Ver.),ja,0.98828125,33,602,-0.2115802274964475
poppin_party__463,poppin_party,ちゅ、多様性。 (Cover),ja,0.97998046875,44,610,-0.26563767377664393
poppin_party__464,poppin_party,フィクション (Cover),ja,0.98974609375,43,576,-0.18441736486541138
poppin_party__465,poppin_party,幾億光年 (Cover),ja,0.99560546875,52,510,-0.19401851212500631
poppin_party__466,poppin_party,心絵 (Cover),ja,0.98974609375,31,318,-0.22807056045795804
poppin_party__467,poppin_party,じょいふる (Cover),ja,0.96142578125,31,567,-0.27393195430017797
poppin_party__468,poppin_party,MATSURI BAYASHI (Cover),ja,0.916015625,37,485,-0.2618171167373168
poppin_party__469,poppin_party,私は最強 (Cover),ja,0.95556640625,34,423,-0.27433243308970057
poppin_party__470,poppin_party,トウキョウ・シャンディ・ランデヴ (Cover),ja,0.98876953125,47,808,-0.2815987529320969
poppin_party__471,poppin_party,夜行性ハイズ (Cover),ja,0.99560546875,52,748,-0.21910549493984444
poppin_party__472,poppin_party,メランコリック (Cover),ja,0.99560546875,25,332,-0.2260496821335173
poppin_party__473,poppin_party,怪獣の花唄 (Cover),ja,0.9951171875,38,607,-0.19525971802008307
poppin_party__474,poppin_party,光るなら (Cover),ja,0.98388671875,36,343,-0.30430191391513167
poppin_party__475,poppin_party,ミュージック・アワー (Cover),ja,0.8828125,40,832,-0.23441809865877353
poppin_party__476,poppin_party,only my railgun (Cover),ja,0.90185546875,33,754,-0.1753763769592977
poppin_party__477,poppin_party,ロミオとシンデレラ (Cover),ja,0.9931640625,62,838,-0.2044724348319712
poppin_party__478,poppin_party,Daydream café (Cover),ja,0.9970703125,93,904,-0.22294073780275192
poppin_party__479,poppin_party,君じゃなきゃダメみたい (Cover),ja,0.94140625,43,536,-0.30047256609975026
poppin_party__480,poppin_party,＊〜アスタリスク〜 (Cover),ja,0.9873046875,77,1033,-0.17670760207312267
poppin_party__481,poppin_party,DAYS of DASH (Cover),ja,0.990234375,39,489,-0.2315803052900804
poppin_party__482,poppin_party,檄！帝国華撃団 (Cover),ja,0.99267578125,16,190,-0.2675898549026725
poppin_party__483,poppin_party,DAYS (Cover),ja,0.96044921875,29,427,-0.2003855074867464
poppin_party__484,poppin_party,ディスカバリー！ (Cover),ja,0.97265625,31,548,-0.16704313586897723
poppin_party__485,poppin_party,チェリボム (Cover),ja,0.90185546875,44,662,-0.2139109453791341
poppin_party__486,poppin_party,ヴァンパイア (Cover),ja,0.98193359375,57,722,-0.23704496071337897
poppin_party__487,poppin_party,怪物 (Cover),ja,0.9853515625,46,612,-0.15318170803862838
poppin_party__488,poppin_party,大河よ共に泣いてくれ (Cover),ja,0.9736328125,37,286,-0.33166430302959793
poppin_party__489,poppin_party,空色デイズ (Cover),ja,0.9931640625,28,394,-0.2127863530019988
raise_a_suilen__490,raise_a_suilen,Invincible Fighter,ja,0.93310546875,56,801,-0.2928924207541285
raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,ja,0.82275390625,55,1085,-0.4426391032174114
raise_a_suilen__492,raise_a_suilen,SOUL SOLDIER,ja,0.580078125,49,654,-0.3532761267860765
raise_a_suilen__493,raise_a_suilen,UNSTOPPABLE,ja,0.873046875,30,487,-0.30066229282076334
raise_a_suilen__494,raise_a_suilen,HELL! or HELL?,ja,0.91015625,36,376,-0.43548828632227915
raise_a_suilen__495,raise_a_suilen,Beautiful Birthday,ja,0.8740234375,28,278,-0.3748815765106826
raise_a_suilen__496,raise_a_suilen,Takin’ my Heart,ja,0.94482421875,32,368,-0.39844765511751373
raise_a_suilen__497,raise_a_suilen,DRIVE US CRAZY,ja,0.6015625,41,650,-0.3936268173155336
raise_a_suilen__498,raise_a_suilen,!NVADE SHOW!,ja,0.955078125,26,781,-0.3349804345419664
raise_a_suilen__499,raise_a_suilen,REIGNING,en,0.4482421875,26,1355,-0.5422453017273335
raise_a_suilen__500,raise_a_suilen,EXPOSE ‘Burn out!!!’,ja,0.89892578125,43,603,-0.4001360382689372
raise_a_suilen__501,raise_a_suilen,R・I・O・T,ja,0.8017578125,47,650,-0.35763082976370114
raise_a_suilen__502,raise_a_suilen,V.I.P MONSTER,ja,0.83154296875,32,611,-0.3783659853283571
raise_a_suilen__503,raise_a_suilen,mind of Prominence,ja,0.91796875,39,367,-0.4669632547374972
raise_a_suilen__504,raise_a_suilen,Ray of hope,ja,0.95849609375,23,602,-0.28634217580538257
raise_a_suilen__505,raise_a_suilen,EXIST,ja,0.935546875,34,328,-0.35007118710926366
raise_a_suilen__506,raise_a_suilen,Sacred world,ja,0.890625,26,424,-0.37868291526887415
raise_a_suilen__507,raise_a_suilen,-N-E-M-E-S-I-S-,ja,0.81884765625,48,587,-0.4421004274527725
raise_a_suilen__508,raise_a_suilen,DANCING DARING,ja,0.98876953125,46,528,-0.2572181602070547
raise_a_suilen__509,raise_a_suilen,BATTLE CRY,ja,0.859375,36,516,-0.3425655530119329
raise_a_suilen__510,raise_a_suilen,Domination to world,ja,0.9345703125,32,333,-0.3516285356114183
raise_a_suilen__511,raise_a_suilen,THE WAY OF LIFE,ja,0.9345703125,36,418,-0.42307034067032323
raise_a_suilen__512,raise_a_suilen,灼熱 Bonfire!,ja,0.87109375,25,362,-0.3087683648895871
raise_a_suilen__513,raise_a_suilen,Repaint,en,0.435546875,21,630,-0.4601569724934442
raise_a_suilen__514,raise_a_suilen,Life on the Lotus,ja,0.5478515625,36,531,-0.3759247465481168
raise_a_suilen__515,raise_a_suilen,CORUSCATE -DNA-,ja,0.791015625,40,524,-0.40478345601746996
raise_a_suilen__516,raise_a_suilen,That Is How I Roll!,ja,0.77197265625,40,879,-0.5083636906614831
raise_a_suilen__517,raise_a_suilen,しゅわりん☆どり～みん,ja,0.9609375,22,311,-0.37279183697162305
raise_a_suilen__518,raise_a_suilen,パスパレボリューションず☆,ja,0.68603515625,1,7,-0.6571180555555556
raise_a_suilen__519,raise_a_suilen,えがおのオーケストラっ！,ja,0.92236328125,35,430,-0.36549055049037404
raise_a_suilen__520,raise_a_suilen,Don't be afraid!,ja,0.900390625,22,249,-0.3058763973654709
raise_a_suilen__521,raise_a_suilen,ゆら・ゆらRing-Dong-Dance,ja,0.9052734375,32,422,-0.36838007128049555
raise_a_suilen__522,raise_a_suilen,Hey-day狂騒曲(カプリチオ),ja,0.8935546875,40,196,-0.5380579641504066
raise_a_suilen__523,raise_a_suilen,Scarlet Sky,ja,0.87939453125,25,287,-0.3800104779608894
raise_a_suilen__524,raise_a_suilen,ゴーカ！ごーかい！？ファントムシーフ！,ja,0.93212890625,18,213,-0.5289118390450083
raise_a_suilen__526,raise_a_suilen,That Is How I Roll! (ライブ / アンコール),ja,0.8984375,12,907,-0.39146577309048375
raise_a_suilen__527,raise_a_suilen,R･I･O･T (ライブ / アンコール),ja,0.7939453125,46,507,-0.4771299162433343
raise_a_suilen__528,raise_a_suilen,Apocalypse,en,0.57958984375,44,1190,-0.4011684357441974
raise_a_suilen__529,raise_a_suilen,TWIN TALE,ja,0.9462890625,53,638,-0.3644943588386661
raise_a_suilen__530,raise_a_suilen,STRAY CERBERUS,ja,0.66064453125,30,281,-0.4277000827866637
raise_a_suilen__531,raise_a_suilen,BERSER-KEY,ja,0.95263671875,17,344,-0.3118407258248271
raise_a_suilen__532,raise_a_suilen,POLARIS,ja,0.9248046875,37,705,-0.2997997695928197
raise_a_suilen__533,raise_a_suilen,HOWLING AMBITION,ja,0.78076171875,39,709,-0.352228776823594
raise_a_suilen__534,raise_a_suilen,VIVID FIRST TIME,ja,0.93115234375,46,607,-0.24616633791014092
raise_a_suilen__535,raise_a_suilen,'FIGHT' ADDICT,ja,0.900390625,38,659,-0.30586377622899746
raise_a_suilen__536,raise_a_suilen,Drown Out the Noise and Push Through the Trash,en,0.488525390625,11,360,-0.5529811369222173
raise_a_suilen__537,raise_a_suilen,FIVE as ONE,ja,0.87548828125,46,481,-0.2980805614484192
raise_a_suilen__538,raise_a_suilen,EXPOSE 'Burn out!!!' (English),ja,0.572265625,70,1394,-0.5734888988362167
raise_a_suilen__539,raise_a_suilen,Takin' my Heart (English),en,0.27392578125,30,957,-0.4323413119828091
raise_a_suilen__540,raise_a_suilen,WELCOME TO PANDEMONIUM,ja,0.8115234375,44,618,-0.42084623173745794
raise_a_suilen__541,raise_a_suilen,WHAT AN EXPLOSION,ja,0.92041015625,29,521,-0.37102564383270514
raise_a_suilen__542,raise_a_suilen,RUNAWAY STAR,ja,0.6962890625,31,311,-0.40387855146989265
raise_a_suilen__543,raise_a_suilen,Bad Kids All Bet,ja,0.80517578125,40,709,-0.430717864250704
raise_a_suilen__544,raise_a_suilen,Light a fire,ja,0.97314453125,27,451,-0.3570089558397355
raise_a_suilen__545,raise_a_suilen,Embrace of light,ja,0.9794921875,31,370,-0.3065871445231082
raise_a_suilen__546,raise_a_suilen,OUTSIDER RODEO,ja,0.84619140625,53,613,-0.4248210429507105
raise_a_suilen__547,raise_a_suilen,JUST THE WAY I AM,ja,0.90087890625,30,440,-0.3706699668965641
raise_a_suilen__548,raise_a_suilen,ラスハピーポー！,ja,0.9580078125,28,303,-0.34354197685006893
raise_a_suilen__549,raise_a_suilen,1/3の純情な感情 (Cover),ja,0.923828125,26,440,-0.23658474986069666
raise_a_suilen__550,raise_a_suilen,ヒトリノ夜 (Cover),ja,0.83349609375,32,572,-0.24924078224368942
raise_a_suilen__551,raise_a_suilen,激動 (Cover),ja,0.91015625,57,848,-0.39024590568322626
raise_a_suilen__552,raise_a_suilen,メギツネ (Cover),ja,0.76904296875,15,131,-0.46571058653798375
raise_a_suilen__553,raise_a_suilen,Bling-Bang-Bang-Born (Cover),ja,0.94677734375,70,1304,-0.3107000913315246
raise_a_suilen__554,raise_a_suilen,第六感 (Cover),ja,0.86376953125,29,798,-0.3315314966382687
raise_a_suilen__555,raise_a_suilen,革命道中 (Cover),ja,0.859375,42,447,-0.2849925599272184
raise_a_suilen__556,raise_a_suilen,Get Wild (Cover),ja,0.9326171875,19,404,-0.2592094617006053
raise_a_suilen__557,raise_a_suilen,ボッカデラべリタ (Cover),ja,0.91943359375,19,452,-0.27219853604397587
raise_a_suilen__558,raise_a_suilen,第ゼロ感 (Cover),ja,0.85107421875,26,438,-0.4610083365210714
raise_a_suilen__559,raise_a_suilen,劣等上等 (Cover),ja,0.73828125,56,863,-0.43541933481635403
